Біграми з пробілами та без перетинів:
Біграма: *хж*, її частота: 0.000043;
Біграма: *дф*, її частота: 0.000014;
Біграма: *мц*, її частота: 0.000033;
Біграма: *тж*, її частота: 0.000117;
Біграма: *бк*, її частота: 0.000234;
Біграма: *мж*, її частота: 0.000096;
Біграма: *тф*, її частота: 0.000060;
Біграма: *зш*, її частота: 0.000028;
Біграма: *пв*, її частота: 0.000016;
Біграма: *уу*, її частота: 0.000154;
Біграма: *дх*, її частота: 0.000071;
Біграма: *юа*, її частота: 0.000034;
Біграма: *бп*, її частота: 0.000020;
Біграма: *дг*, її частота: 0.000074;
Біграма: *эй*, її частота: 0.000071;
Біграма: *юю*, її частота: 0.000047;
Біграма: *ыщ*, її частота: 0.000014;
Біграма: *жм*, її частота: 0.000027;
Біграма: *цб*, її частота: 0.000004;
Біграма: *цд*, її частота: 0.000017;
Біграма: *фт*, її частота: 0.000034;
Біграма: *жп*, її частота: 0.000043;
Біграма: *рщ*, її частота: 0.000072;
Біграма: *кю*, її частота: 0.000017;
Біграма: *жэ*, її частота: 0.000014;
Біграма: *гэ*, її частота: 0.000024;
Біграма: *нш*, її частота: 0.000122;
Біграма: *фы*, її частота: 0.000017;
Біграма: *вж*, її частота: 0.000067;
Біграма: *жб*, її частота: 0.000040;
Біграма: *юш*, її частота: 0.000048;
Біграма: *фч*, її частота: 0.000010;
Біграма: *юй*, її частота: 0.000029;
Біграма: *ьщ*, її частота: 0.000014;
Біграма: *эс*, її частота: 0.000027;
Біграма: *цф*, її частота: 0.000003;
Біграма: *цз*, її частота: 0.000011;
Біграма: *бб*, її частота: 0.000100;
Біграма: *сф*, її частота: 0.000065;
Біграма: *ыц*, її частота: 0.000009;
Біграма: *нж*, її частота: 0.000062;
Біграма: *чр*, її частота: 0.000013;
Біграма: *гг*, її частота: 0.000068;
Біграма: *цр*, її частота: 0.000018;
Біграма: *тё*, її частота: 0.000001;
Біграма: *ёр*, її частота: 0.000001;
Біграма: *чэ*, її частота: 0.000001;
Біграма: *чб*, її частота: 0.000006;
Біграма: *бт*, її частота: 0.000004;
Біграма: *лц*, її частота: 0.000016;
Біграма: *пб*, її частота: 0.000009;
Біграма: *пд*, її частота: 0.000003;
Біграма: *яф*, її частота: 0.000046;
Біграма: *чс*, її частота: 0.000012;
Біграма: *чч*, її частота: 0.000001;
Біграма: *цп*, її частота: 0.000036;
Біграма: *чм*, її частота: 0.000018;
Біграма: *пш*, її частота: 0.000012;
Біграма: *ця*, її частота: 0.000011;
Біграма: *зц*, її частота: 0.000018;
Біграма: *бж*, її частота: 0.000012;
Біграма: *бю*, її частота: 0.000020;
Біграма: *шю*, її частота: 0.000002;
Біграма: *бз*, її частота: 0.000016;
Біграма: *гм*, її частота: 0.000033;
Біграма: *эф*, її частота: 0.000039;
Біграма: *фф*, її частота: 0.000050;
Біграма: *лщ*, її частота: 0.000006;
Біграма: *фз*, її частота: 0.000003;
Біграма: *зх*, її частота: 0.000012;
Біграма: *цт*, її частота: 0.000022;
Біграма: *гз*, її частота: 0.000027;
Біграма: *цэ*, її частота: 0.000005;
Біграма: *гя*, її частота: 0.000019;
Біграма: *йщ*, її частота: 0.000011;
Біграма: *шп*, її частота: 0.000026;
Біграма: *пч*, її частота: 0.000014;
Біграма: *шш*, її частота: 0.000004;
Біграма: *шя*, її частота: 0.000002;
Біграма: *эз*, її частота: 0.000002;
Біграма: *вщ*, її частота: 0.000027;
Біграма: *гх*, її частота: 0.000009;
Біграма: *фп*, її частота: 0.000009;
Біграма: *шз*, її частота: 0.000002;
Біграма: *чё*, її частота: 0.000007;
Біграма: *ём*, її частота: 0.000001;
Біграма: *шг*, її частота: 0.000003;
Біграма: *жя*, її частота: 0.000019;
Біграма: *пз*, її частота: 0.000006;
Біграма: *жр*, її частота: 0.000013;
Біграма: *жт*, її частота: 0.000022;
Біграма: *цс*, її частота: 0.000016;
Біграма: *эх*, її частота: 0.000006;
Біграма: *жл*, її частота: 0.000016;
Біграма: *ёх*, її частота: 0.000001;
Біграма: *фь*, її частота: 0.000006;
Біграма: *фд*, її частота: 0.000002;
Біграма: *шр*, її частота: 0.000018;
Біграма: *бф*, її частота: 0.000003;
Біграма: *бш*, її частота: 0.000010;
Біграма: *йй*, її частота: 0.000002;
Біграма: *бг*, її частота: 0.000005;
Біграма: *зъ*, її частота: 0.000010;
Біграма: *йю*, її частота: 0.000006;
Біграма: *лё*, її частота: 0.000001;
Біграма: *ён*, її частота: 0.000003;
Біграма: *хц*, її частота: 0.000010;
Біграма: *хъ*, її частота: 0.000004;
Біграма: *гш*, її частота: 0.000003;
Біграма: *чф*, її частота: 0.000001;
Біграма: *фн*, її частота: 0.000007;
Біграма: *мю*, її частота: 0.000011;
Біграма: *чя*, її частота: 0.000001;
Біграма: *эв*, її частота: 0.000013;
Біграма: *щё*, її частота: 0.000001;
Біграма: *шб*, її частота: 0.000004;
Біграма: *эб*, її частота: 0.000004;
Біграма: *шч*, її частота: 0.000002;
Біграма: *ёо*, її частота: 0.000001;
Біграма: *фм*, її частота: 0.000002;
Біграма: *щр*, її частота: 0.000002;
Біграма: *хь*, її частота: 0.000010;
Біграма: *шэ*, її частота: 0.000002;
Біграма: *бц*, її частота: 0.000002;
Біграма: *щм*, її частота: 0.000002;
Біграма: *гж*, її частота: 0.000004;
Біграма: *ээ*, її частота: 0.000002;
Біграма: *кь*, її частота: 0.000005;
Біграма: *шц*, її частота: 0.000004;
Біграма: *тъ*, її частота: 0.000015;
Біграма: *эя*, її частота: 0.000003;
Біграма: *въ*, її частота: 0.000006;
Біграма: *кщ*, її частота: 0.000010;
Біграма: *эш*, її частота: 0.000003;
Біграма: *шф*, її частота: 0.000001;
Біграма: *цл*, її частота: 0.000004;
Біграма: *эг*, її частота: 0.000010;
Біграма: *фя*, її частота: 0.000001;
Біграма: *фс*, її частота: 0.000003;
Біграма: *пэ*, її частота: 0.000003;
Біграма: *чз*, її частота: 0.000001;
